,Energiewende,Tipping_Points,Oekologie,Klimawandel,Landwirtschaft,Waermewende,Gesundheit,Wasserversorgung,Klimaextreme,Industrie,Urbane_Hitzeinsel,Geo_Engineering,Verkehrswende,Invalid
2026-05-09,0.0,0,0.0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-10,0.0,0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-11,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-13,0.9,0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-14,0.0,0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-16,0.0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-18,2.7,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-05-19,0.9,0,0.0,1.8,0.0,0.0,0.9,0.0,0.0,0.0,0,0,0,0
2026-05-20,1.8,0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-21,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-22,4.5,0,0.0,2.7,1.8,1.8,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-23,0.0,0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0,0,0,0
2026-05-24,0.0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-05-25,1.8,0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0,0,0,0
2026-05-26,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-27,6.300000000000001,0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0,0,0,0
2026-05-28,0.9,0,0.0,3.6,0.0,0.9,0.9,0.0,0.0,0.9,0,0,0,0
2026-05-29,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-30,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-31,0.9,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-02,1.8,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-03,2.7,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-04,0.9,0,0.0,2.7,0.9,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-06-05,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-06,0.9,0,0.0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-07,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-08,2.7,0,0.0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-09,2.7,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-06-10,2.7,0,0.0,5.4,0.0,0.0,0.0,0.0,2.7,0.9,0,0,0,0
2026-06-11,3.6,0,0.0,2.7,0.0,0.9,0.9,0.0,0.0,0.9,0,0,0,0
2026-06-12,0.9,0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9,0,0,0,0
2026-06-13,0.0,0,0.0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-14,0.9,0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-15,3.6,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-16,3.6,0,0.0,0.9,0.0,1.8,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-17,5.4,0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-18,2.7,0,0.0,7.200000000000001,0.9,1.8,0.9,0.0,0.0,0.0,0,0,0,0
2026-06-19,2.7,0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-20,0.9,0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0,0,0,0
2026-06-21,0.0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-22,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-23,0.0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-24,2.7,0,0.0,9.000000000000002,1.8,0.0,2.7,0.0,0.0,0.0,0,0,0,0
2026-06-25,2.7,0,0.0,6.300000000000001,1.8,0.0,0.9,0.0,0.0,0.0,0,0,0,0
2026-06-26,4.5,0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-27,0.0,0,0.0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-28,0.0,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-06-29,2.7,0,0.0,2.7,0.0,0.0,0.9,0.0,0.0,0.0,0,0,0,0
2026-06-30,1.8,0,0.0,3.6,0.0,0.0,2.7,0.0,0.0,0.0,0,0,0,0
2026-07-01,8.100000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-02,0.9,0,0.0,3.6,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-03,2.7,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-04,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-05,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-06,0.9,0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-07,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-08,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-09,0.9,0,0.0,6.300000000000001,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-10,1.8,0,0.0,1.8,0.9,0.0,0.0,0.9,0.0,0.0,0,0,0,0
2026-07-12,1.8,0,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0,0,0,0
2026-07-13,1.8,0,0.0,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-14,1.8,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-15,0.9,0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-16,3.6,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-17,5.4,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-18,1.8,0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-19,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-20,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-22,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-23,1.8,0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-24,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-26,1.8,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-27,2.7,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-28,1.8,0,0.0,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0,0,0,0
2026-07-29,4.5,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-07-31,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-02,0.9,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-03,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-04,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-05,2.7,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-06,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-07,0.9,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-08-08,0.0,0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-09,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-10,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-13,0.0,0,0.0,6.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-08-14,0.9,0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0
2026-08-17,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
