,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,1.5297619047619044,2.511904761904762,de,171.7000000000006
"Link
","Link
",MISC,,,de,108.70000000000023
Wetter“,Wetter“,MISC,,,de,44.69999999999996
deutsche,deutsche,MISC,,,de,24.39999999999999
deutschen,deutschen,MISC,,,de,21.799999999999994
Gewitter im Kopf,Gewitter im Kopf,MISC,,,de,20.799999999999997
DWD-Prognose,DWD-Prognose,MISC,,,de,12.700000000000003
Erster Schnee,Erster Schnee,MISC,,,de,10.900000000000002
Wettervorhersage“,Wettervorhersage“,MISC,,,de,9.100000000000001
Deutsche,Deutsche,MISC,,,de,8.3
Energiewende“,Energiewende“,MISC,,,de,8.200000000000001
Wintersport“,Wintersport“,MISC,,,de,8.200000000000001
UPDATE startest du jeden Morgen,UPDATE startest du jeden Morgen,MISC,,,de,7.400000000000001
Tag,Tag,MISC,6.300000000000001,0.0,de,7.400000000000001
ePaper,ePaper,MISC,,,de,7.300000000000001
Youtube-Star Jan Zimmermann,Youtube-Star Jan Zimmermann,MISC,,,de,7.300000000000001
Gewitter im Kopf“,Gewitter im Kopf“,MISC,,,de,7.300000000000001
Deutscher,Deutscher,MISC,,,de,6.500000000000001
Zeit,Zeit,MISC,,,de,6.500000000000001
hessischen,hessischen,MISC,,,de,6.4
stern+,stern+,MISC,,,de,6.4
stern+statt,stern+statt,MISC,,,de,6.4
Schweizer,Schweizer,MISC,,,de,6.4
Capital</li><li>4,Capital</li><li>4,MISC,,,de,6.4
Hamburger,Hamburger,MISC,,,de,6.4
Deutschen,Deutschen,MISC,,,de,5.6000000000000005
Rivian,Rivian,MISC,,,de,5.5
PV-Anlage,PV-Anlage,MISC,,,de,5.5
Götz-George-Preis,Götz-George-Preis,MISC,,,de,5.5
Klimawandel“,Klimawandel“,MISC,,,de,5.5
Verkehr“,Verkehr“,MISC,,,de,4.7
e…,e…,MISC,,,de,4.6
Wärmewende“,Wärmewende“,MISC,,,de,4.6
sozialen,sozialen,MISC,,,de,4.6
Dieses Jahr,Dieses Jahr,MISC,,,de,4.6
Internet,Internet,MISC,,,de,4.6
S…,S…,MISC,1.2,0.0,de,4.6
Kabinett,Kabinett,MISC,,,de,4.6
Anschluss,Anschluss,MISC,,,de,4.6
Kommunen,Kommunen,MISC,1.0,0.0,de,4.6
europäischen,europäischen,MISC,,,de,4.6
Google,Google,MISC,,,de,4.6
deutscher,deutscher,MISC,,,de,3.9
norwegischen,norwegischen,MISC,,,de,3.6999999999999997
Sachsen,Sachsen,MISC,-0.00782997762863535,0.0,de,3.6999999999999997
TTS Player,TTS Player,MISC,,,de,3.6999999999999997
Der Schnee,Der Schnee,MISC,,,de,3.6999999999999997
indigener,indigener,MISC,,,de,3.6999999999999997
sozialer,sozialer,MISC,,,de,3.6999999999999997
Deutschem,Deutschem,MISC,,,de,3.6999999999999997
Iran-Krieg,Iran-Krieg,MISC,,,de,3.6999999999999997
Die Energiewende,Die Energiewende,MISC,,,de,3.6999999999999997
chinesischen,chinesischen,MISC,,,de,3.6999999999999997
Instagram,Instagram,MISC,0.3684210526315789,0.5263157894736842,de,3.6999999999999997
Top-Kartoffelernte,Top-Kartoffelernte,MISC,,,de,3.6999999999999997
Ortsbesuch,Ortsbesuch,MISC,,,de,3.6999999999999997
Freyburg-Unstrut,Freyburg-Unstrut,MISC,,,de,3.6999999999999997
d…,d…,MISC,0.0,0.7142857142857143,de,3.6999999999999997
Der Winter,Der Winter,MISC,,,de,3.6999999999999997
französische,französische,MISC,,,de,3.6999999999999997
sächsische,sächsische,MISC,,,de,3.6999999999999997
Heizsaison,Heizsaison,MISC,,,de,3.6999999999999997
ungemütliches,ungemütliches,MISC,,,de,3.6999999999999997
französischen,französischen,MISC,,,de,3.0
britische,britische,MISC,,,de,3.0
hessische,hessische,MISC,,,de,2.9
Tages,Tages,MISC,,,de,2.9
Wetterprognose“,Wetterprognose“,MISC,,,de,2.9
T…,T…,MISC,,,de,2.8
Probefahrt,Probefahrt,MISC,,,de,2.8
CO2-Batterie,CO2-Batterie,MISC,,,de,2.8
YouTuber,YouTuber,MISC,,,de,2.8
YouTuber Jan Zimmermann,YouTuber Jan Zimmermann,MISC,,,de,2.8
T-Shirt-Wetter,T-Shirt-Wetter,MISC,,,de,2.8
Herbststurm“,Herbststurm“,MISC,,,de,2.8
Premier League,Premier League,MISC,,,de,2.8
Hause,Hause,MISC,,,de,2.8
indonesischen,indonesischen,MISC,,,de,2.8
Tourette-Syndrom,Tourette-Syndrom,MISC,,,de,2.8
steirischen,steirischen,MISC,,,de,2.8
Berliner,Berliner,MISC,,,de,2.8
Klimawandels“,Klimawandels“,MISC,,,de,2.8
Hochwassers,Hochwassers,MISC,,,de,2.8
Sc…,Sc…,MISC,,,de,2.8
Weinlese“,Weinlese“,MISC,,,de,2.8
Euro,Euro,MISC,,,de,2.8
Kronen,Kronen,MISC,,,de,2.8
österreichischen,österreichischen,MISC,,,de,2.8
Glatteis“,Glatteis“,MISC,,,de,2.8
sächsischen,sächsischen,MISC,,,de,2.8
s…,s…,MISC,,,de,2.8
The Smarter E Europe,The Smarter E Europe,MISC,,,de,2.8
Baum des Jahres,Baum des Jahres,MISC,,,de,2.8
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,2.4000000000000012
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,2.300000000000001
Ukrainer,Ukrainer,MISC,,,de,2.1
thüringischen,thüringischen,MISC,,,de,2.0
Wetterbericht“,Wetterbericht“,MISC,,,de,2.0
Wetter-Vorhersage“,Wetter-Vorhersage“,MISC,,,de,2.0
Kräftiger Wind,Kräftiger Wind,MISC,,,de,2.0
olympischen Feuers ins,olympischen Feuers ins,MISC,,,de,1.9
Wärmepumpen,Wärmepumpen,MISC,0.0,0.0,de,1.9
V…,V…,MISC,,,de,1.9
Deutsch,Deutsch,MISC,,,de,1.9
Karlsruhe,Karlsruhe,MISC,,,de,1.9
Abo verspr…,Abo verspr…,MISC,,,de,1.9
olympischen Winter,olympischen Winter,MISC,,,de,1.9
Baustein für Energiewende,Baustein für Energiewende,MISC,,,de,1.9
GTC 2025,GTC 2025,MISC,,,de,1.9
K…,K…,MISC,,,de,1.9
Wärmeplan“,Wärmeplan“,MISC,,,de,1.9
Google TV,Google TV,MISC,,,de,1.9
Hochtouren,Hochtouren,MISC,,,de,1.9
Wetter-Bilanz“,Wetter-Bilanz“,MISC,,,de,1.9
Qual,Qual,MISC,,,de,1.9
Social-Media-Star,Social-Media-Star,MISC,,,de,1.9
ICE 2,ICE 2,MISC,,,de,1.9
CO2-Laser,CO2-Laser,MISC,,,de,1.9
Youtube,Youtube,MISC,0.0,0.0,de,1.9
D1 Pro-Serie,D1 Pro-Serie,MISC,,,de,1.9
P3,P3,MISC,,,de,1.9
xTool,xTool,MISC,,,de,1.9
US-amerikanischen,US-amerikanischen,MISC,,,de,1.9
En…,En…,MISC,,,de,1.9
Trump-Regierung,Trump-Regierung,MISC,,,de,1.9
Distanzunterricht,Distanzunterricht,MISC,,,de,1.9
Amazon,Amazon,MISC,,,de,1.9
TCL,TCL,MISC,,,de,1.9
mexikanischen,mexikanischen,MISC,,,de,1.9
Smart-TVs,Smart-TVs,MISC,,,de,1.9
Biathlon-Weltcup,Biathlon-Weltcup,MISC,,,de,1.9
europäische,europäische,MISC,,,de,1.9
CO2-Speicherung,CO2-Speicherung,MISC,,,de,1.9
winterliches,winterliches,MISC,,,de,1.9
Das winterliche Wetter,Das winterliche Wetter,MISC,,,de,1.9
️ Ein Podcast,️ Ein Podcast,MISC,,,de,1.9
Minusgrade und Schnee,Minusgrade und Schnee,MISC,,,de,1.9
Kanuslalom-WM,Kanuslalom-WM,MISC,,,de,1.9
Freistaat,Freistaat,MISC,0.0,0.0,de,1.9
Leise rieselt der Schnee,Leise rieselt der Schnee,MISC,,,de,1.9
Nature Writing,Nature Writing,MISC,,,de,1.9
Stuttgarter,Stuttgarter,MISC,,,de,1.9
Weihnachten,Weihnachten,MISC,,,de,1.9
"Wind, Regen","Wind, Regen",MISC,,,de,1.9
Das Wetter,Das Wetter,MISC,,,de,1.9
Herbst-Steuerschätzung“,Herbst-Steuerschätzung“,MISC,,,de,1.9
